Symbol,market_cap,timeframe,HVE_date_1,HVE_vol_1,HVE_date_2,HVE_vol_2,HVE_date_3,HVE_vol_3,HVE_date_4,HVE_vol_4,HVE_date_5,HVE_vol_5,HVE_date_6,HVE_vol_6,HVE_date_7,HVE_vol_7,HVE_date_8,HVE_vol_8,HVE_date_9,HVE_vol_9,HVE_date_10,HVE_vol_10
GIC,1344494952.6936517,monthly,2023-03-01,3989800,2020-12-01,2596800.0,2020-03-01,2318200.0,2020-02-01,852400.0,,,,,,,,,,,,
BWB,581089396.7239206,monthly,2023-03-01,3780200,2020-03-01,2286800.0,2020-02-01,950300.0,,,,,,,,,,,,,,
AAT,1545823794.5925925,monthly,2023-03-01,21384600,2020-03-01,12073800.0,2020-02-01,6909700.0,,,,,,,,,,,,,,
HOPE,1737330437.3712175,monthly,2023-03-01,35131700,2020-03-01,29873200.0,2020-02-01,12888900.0,,,,,,,,,,,,,,
MCB,1237248707.8107636,monthly,2023-03-01,19218600,2022-01-01,2855000.0,2021-12-01,2781400.0,2021-09-01,2470200.0,2021-02-01,1764700.0,2021-01-01,828000.0,2020-04-01,797800.0,2020-03-01,753200.0,2020-02-01,324000.0,,
PNTG,1248502992.4543931,monthly,2023-03-01,15141300,2021-12-01,7025100.0,2020-03-01,4772400.0,2020-02-01,2223700.0,,,,,,,,,,,,
BMRC,449588152.5858662,monthly,2023-03-01,3484000,2021-08-01,2242700.0,2021-04-01,1379900.0,2021-03-01,1215200.0,2020-03-01,1158400.0,2020-02-01,472600.0,,,,,,,,
JBGS,873255867.0396107,monthly,2023-03-01,74052300,2022-09-01,35517600.0,2022-06-01,25942700.0,2020-03-01,24170600.0,2020-02-01,9999800.0,,,,,,,,,,
ASC,616935509.4237287,monthly,2023-02-01,23781500,2022-06-01,22467000.0,2022-05-01,14833500.0,2021-06-01,14281600.0,2020-05-01,11531200.0,2020-04-01,11371500.0,2020-03-01,8887600.0,2020-02-01,8398800.0,,,,
ULH,403456273.37491786,monthly,2023-02-01,2234200,2022-08-01,2126900.0,2022-05-01,1830700.0,2020-03-01,1624900.0,2020-02-01,1103900.0,,,,,,,,,,
KNOP,344839213.7089108,monthly,2023-01-01,14694600,2022-12-01,8611600.0,2020-04-01,7554800.0,2020-03-01,7380800.0,2020-02-01,2669700.0,,,,,,,,,,
VTS,658639191.2567394,monthly,2023-01-01,16771600,,,,,,,,,,,,,,,,,,
NAN,358477326.0,monthly,2022-12-01,3208300,2020-03-01,2950300.0,2020-02-01,855500.0,,,,,,,,,,,,,,
MUC,1362587200.0,monthly,2022-12-01,13305700,2022-11-01,8142100.0,2022-06-01,7284800.0,2022-05-01,6445800.0,2022-04-01,5855400.0,2020-03-01,4482200.0,2020-02-01,1812400.0,,,,,,
SGU,424542785.44575465,monthly,2022-12-01,4425400,2020-04-01,3302300.0,2020-03-01,2915600.0,2020-02-01,1427800.0,,,,,,,,,,,,
MUA,542321196.0,monthly,2022-12-01,6419600,2022-11-01,4710800.0,2022-10-01,3603800.0,2022-05-01,3085900.0,2020-03-01,3022000.0,2020-02-01,940100.0,,,,,,,,
MIY,353564540.0,monthly,2022-12-01,2868200,2022-11-01,2476500.0,2020-03-01,2268100.0,2020-02-01,861400.0,,,,,,,,,,,,
MUJ,650985624.0,monthly,2022-12-01,5984800,2022-11-01,3690700.0,2020-03-01,3415200.0,2020-02-01,1018800.0,,,,,,,,,,,,
PDO,1853295163.2,monthly,2022-12-01,24668700,2022-06-01,13481400.0,2021-12-01,12838700.0,2021-06-01,9777200.0,2021-05-01,6929200.0,2021-03-01,4831600.0,2021-02-01,4598500.0,,,,,,
